timestamp,temperature,humidity,soil_moisture,soil_ph,water_tds,solar_radiation,wind_speed,rainfall_last_24h,time_since_irrigation,leaf_temperature,crop_type,growth_stage,needs_irrigation,overwatered,drought_stress,high_et,optimal_moisture,ph_stress,poor_water_quality,heat_stress,low_humidity_stress,healthy,valve_on_minutes,label
2022-06-01 06:00:00,41.75,37.44,14.88,6.647,266.1,103.3,18.92,0.0,109.2,48.89,rice,flowering,1,0,1,0,0,0,0,1,0,0,80,Needs Irrigation + Drought Stress + Heat Stress
2022-06-01 10:22:48,42.49,11.21,38.41,6.11,273.3,887.3,5.48,0.0,9.64,48.66,sugarcane,maturity,1,0,0,1,0,0,0,1,1,0,15,Needs Irrigation + High Evapotranspiration + Heat Stress + Low Humidity Stress
2022-06-01 14:45:36,40.85,23.27,5.0,7.082,166.0,793.4,9.16,0.0,120.0,46.31,vegetables,flowering,1,0,1,1,0,0,0,1,1,0,90,Needs Irrigation + Drought Stress + High Evapotranspiration + Heat Stress + Low Humidity Stress
2022-06-01 19:08:24,50.0,10.0,64.84,5.973,537.8,0.0,3.67,0.0,8.34,47.69,cotton,vegetative,0,1,0,0,0,0,0,1,0,0,0,Overwatered + Heat Stress
2022-06-01 23:31:12,46.16,17.28,41.25,4.775,153.7,0.0,10.71,0.0,0.5,46.14,wheat,seedling,0,0,0,0,1,1,0,1,0,0,0,Optimal Moisture + pH Stress + Heat Stress
2022-06-02 03:54:00,43.89,22.53,24.98,6.323,840.7,0.0,2.84,0.0,3.73,50.74,wheat,vegetative,1,0,0,0,0,0,0,1,1,0,20,Needs Irrigation + Heat Stress + Low Humidity Stress
2022-06-02 08:16:48,38.46,21.74,5.0,7.201,280.4,547.8,6.06,0.0,35.33,42.03,wheat,vegetative,1,0,1,0,0,0,0,1,1,0,55,Needs Irrigation + Drought Stress + Heat Stress + Low Humidity Stress
2022-06-02 12:39:36,42.61,26.44,35.64,6.892,201.4,1072.9,6.82,0.0,21.9,46.34,sugarcane,vegetative,1,0,0,1,0,0,0,1,1,0,25,Needs Irrigation + High Evapotranspiration + Heat Stress + Low Humidity Stress
2022-06-02 17:02:24,48.43,16.54,53.0,8.214,495.0,274.3,8.72,0.0,3.42,46.17,cotton,flowering,0,0,0,0,1,1,0,1,0,0,0,Optimal Moisture + pH Stress + Heat Stress
2022-06-02 21:25:12,50.0,10.0,52.93,6.147,338.9,0.0,13.46,1.25,34.22,52.14,vegetables,seedling,0,0,0,0,1,0,0,1,0,0,0,Optimal Moisture + Heat Stress
2022-06-03 01:48:00,41.88,15.68,62.89,6.239,584.0,0.0,7.47,0.0,20.02,42.4,wheat,seedling,0,0,0,0,1,0,0,1,0,0,0,Optimal Moisture + Heat Stress
2022-06-03 06:10:48,40.87,28.84,70.84,6.167,73.6,31.3,2.02,0.0,1.23,39.03,sugarcane,vegetative,0,0,0,0,1,0,0,0,0,1,0,Optimal Moisture + Healthy
